AnimalType,Sex,IntakeType,IntakeCondition,AgeInDays,AgeGroup,breed_type,Color_grouped,Season,OutcomeClass,AgeInDays_log
Dog,Spayed Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Adoption,5.902633333401366
Cat,Intact Male,Stray,Normal,7.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption,2.0794415416798357
Cat,Neutered Male,Stray,Injured,730.0,Adulto joven (1-3a),purebred,Monocolor,Invierno,Transfer,6.594413459749778
Dog,Spayed Female,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Adoption,6.594413459749778
Dog,Intact Male,Stray,Normal,180.0,Joven (6m-1a),mix,Bicolor,Otoño,Transfer,5.198497031265826
Dog,Intact Female,Public Assist,Normal,1825.0,Adulto (3-7a),mix,Bicolor,Verano,Return to Owner,7.509883061154913
Cat,Intact Male,Stray,Normal,30.0,Cachorro (<6m),purebred,Monocolor,Verano,Adoption,3.4339872044851463
Dog,Intact Male,Owner Surrender,Normal,60.0,Cachorro (<6m),mix,Monocolor,Otoño,Transfer,4.110873864173311
Dog,Neutered Male,Public Assist,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Otoño,Return to Owner,6.594413459749778
Cat,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Verano,Adoption,3.4339872044851463
Dog,Intact Female,Stray,Normal,60.0,Cachorro (<6m),purebred,Monocolor,Verano,Adoption,4.110873864173311
Cat,Intact Male,Owner Surrender,Normal,270.0,Joven (6m-1a),mix,Bicolor,Otoño,Adoption,5.602118820879701
Dog,Intact Female,Owner Surrender,Normal,2190.0,Adulto (3-7a),mix,Monocolor,Verano,Transfer,7.692113339595466
Dog,Intact Male,Stray,Normal,240.0,Joven (6m-1a),mix,Bicolor,Otoño,Transfer,5.484796933490655
Dog,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Adoption,5.902633333401366
Dog,Neutered Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Return to Owner,6.594413459749778
Dog,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Adoption,6.594413459749778
Dog,Intact Male,Owner Surrender,Normal,1460.0,Adulto (3-7a),mix,Bicolor,Verano,Adoption,7.2868764117507
Dog,Intact Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Monocolor,Verano,Adoption,6.999422467507961
Dog,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Invierno,Adoption,5.902633333401366
Cat,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,Adoption,5.902633333401366
Cat,Intact Male,Owner Surrender,Sick,30.0,Cachorro (<6m),mix,Monocolor,Otoño,At Risk,3.4339872044851463
Cat,Intact Male,Owner Surrender,Normal,120.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption,4.795790545596741
Dog,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Otoño,Adoption,6.594413459749778
Dog,Neutered Male,Stray,Normal,240.0,Joven (6m-1a),mix,Bicolor,Invierno,Adoption,5.484796933490655
Dog,Neutered Male,Owner Surrender,Normal,2190.0,Adulto (3-7a),purebred,Bicolor,Otoño,Transfer,7.692113339595466
Cat,Intact Male,Stray,Normal,21.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer,3.091042453358316
Cat,Intact Male,Stray,Nursing,3.0,Cachorro (<6m),mix,Monocolor,Verano,Transfer,1.3862943611198906
Dog,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Adoption,5.902633333401366
Dog,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption,6.594413459749778
Cat,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption,3.4339872044851463
Dog,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Return to Owner,5.902633333401366
Dog,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption,3.4339872044851463
Dog,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,Return to Owner,5.902633333401366
Dog,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Adoption,5.902633333401366
Dog,Neutered Male,Public Assist,Normal,1825.0,Adulto (3-7a),mix,Bicolor,Primavera,Return to Owner,7.509883061154913
Dog,Intact Male,Owner Surrender,Normal,730.0,Adulto joven (1-3a),purebred,Monocolor,Verano,Transfer,6.594413459749778
Dog,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Adoption,5.902633333401366
Dog,Neutered Male,Owner Surrender,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Primavera,Transfer,7.509883061154913
Dog,Neutered Male,Owner Surrender,Normal,1825.0,Adulto (3-7a),mix,Bicolor,Otoño,Return to Owner,7.509883061154913
Dog,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Adoption,5.902633333401366
Dog,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Verano,Adoption,3.4339872044851463
Cat,Intact Female,Stray,Nursing,14.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer,2.70805020110221
Dog,Intact Female,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Invierno,Adoption,4.110873864173311
Dog,Intact Male,Stray,Normal,1095.0,Adulto (3-7a),purebred,Bicolor,Verano,Transfer,6.999422467507961
Cat,Intact Female,Stray,Normal,14.0,Cachorro (<6m),purebred,Monocolor,Primavera,Transfer,2.70805020110221
Dog,Intact Female,Abandoned,Nursing,21.0,Cachorro (<6m),purebred,Monocolor,Verano,Transfer,3.091042453358316
Dog,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption,6.594413459749778
Dog,Intact Female,Stray,Normal,120.0,Cachorro (<6m),mix,Bicolor,Invierno,Adoption,4.795790545596741
Cat,Intact Male,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption,3.367295829986474
Dog,Spayed Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption,6.594413459749778
Dog,Intact Male,Stray,Normal,120.0,Cachorro (<6m),purebred,Bicolor,Otoño,Adoption,4.795790545596741
Cat,Intact Female,Owner Surrender,Sick,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Transfer,5.902633333401366
Dog,Intact Female,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Primavera,Return to Owner,4.110873864173311
Cat,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Verano,Adoption,3.4339872044851463
Dog,Intact Male,Stray,Normal,7.0,Cachorro (<6m),purebred,Bicolor,Primavera,Adoption,2.0794415416798357
Cat,Intact Female,Stray,Normal,7.0,Cachorro (<6m),purebred,Bicolor,Verano,Transfer,2.0794415416798357
Cat,Neutered Male,Owner Surrender,Normal,3285.0,Senior (>7a),mix,Monocolor,Verano,Adoption,8.097426298597213
Dog,Intact Male,Public Assist,Normal,210.0,Joven (6m-1a),purebred,Bicolor,Verano,Return to Owner,5.351858133476067
Cat,Spayed Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Transfer,5.902633333401366
Cat,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Transfer,5.902633333401366
Cat,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Otoño,Transfer,3.4339872044851463
Dog,Spayed Female,Owner Surrender,Normal,3285.0,Senior (>7a),mix,Monocolor,Otoño,Transfer,8.097426298597213
Dog,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Transfer,6.594413459749778
Dog,Spayed Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Verano,Adoption,6.594413459749778
Cat,Intact Female,Stray,Normal,28.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption,3.367295829986474
Dog,Spayed Female,Stray,Normal,3650.0,Senior (>7a),mix,Monocolor,Invierno,Return to Owner,8.202756381655638
Dog,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Primavera,Transfer,3.4339872044851463
Cat,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Primavera,At Risk,3.4339872044851463
Dog,Intact Female,Stray,Normal,90.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption,4.51085950651685
Dog,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,Adoption,5.902633333401366
Cat,Intact Female,Stray,Normal,270.0,Joven (6m-1a),mix,Monocolor,Otoño,Adoption,5.602118820879701
Dog,Neutered Male,Stray,Aged,4380.0,Senior (>7a),mix,Bicolor,Primavera,Transfer,8.385032287813898
Dog,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Verano,Adoption,6.594413459749778
Dog,Spayed Female,Owner Surrender,Normal,3285.0,Senior (>7a),purebred,Bicolor,Invierno,Adoption,8.097426298597213
Dog,Intact Female,Stray,Normal,2920.0,Senior (>7a),purebred,Bicolor,Invierno,Transfer,7.979681302387741
Cat,Intact Female,Stray,Normal,28.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption,3.367295829986474
Cat,Intact Male,Stray,Normal,60.0,Cachorro (<6m),purebred,Monocolor,Otoño,Adoption,4.110873864173311
Cat,Spayed Female,Owner Surrender,Aged,2190.0,Adulto (3-7a),purebred,Monocolor,Verano,Adoption,7.692113339595466
Cat,Intact Female,Stray,Normal,21.0,Cachorro (<6m),mix,Monocolor,Primavera,Adoption,3.091042453358316
Cat,Intact Male,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer,3.367295829986474
Dog,Intact Male,Stray,Normal,1825.0,Adulto (3-7a),mix,Bicolor,Otoño,Return to Owner,7.509883061154913
Cat,Intact Female,Stray,Normal,14.0,Cachorro (<6m),mix,Monocolor,Otoño,Transfer,2.70805020110221
Dog,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Otoño,Adoption,5.902633333401366
Dog,Neutered Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Monocolor,Otoño,Return to Owner,6.999422467507961
Cat,Intact Female,Stray,Nursing,6.0,Cachorro (<6m),purebred,Monocolor,Primavera,Transfer,1.9459101490553132
Dog,Neutered Male,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,At Risk,5.902633333401366
Cat,Intact Male,Stray,Injured,120.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption,4.795790545596741
Dog,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Adoption,5.902633333401366
Dog,Intact Male,Stray,Normal,3285.0,Senior (>7a),mix,Monocolor,Invierno,Adoption,8.097426298597213
Cat,Intact Male,Stray,Normal,21.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer,3.091042453358316
Dog,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Return to Owner,6.594413459749778
Dog,Spayed Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,Return to Owner,5.902633333401366
Cat,Intact Male,Stray,Sick,365.0,Adulto joven (1-3a),mix,Monocolor,Invierno,Transfer,5.902633333401366
Dog,Intact Male,Owner Surrender,Normal,180.0,Joven (6m-1a),purebred,Monocolor,Verano,Adoption,5.198497031265826
Dog,Neutered Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Adoption,5.902633333401366
Dog,Intact Male,Stray,Normal,1460.0,Adulto (3-7a),mix,Bicolor,Otoño,Transfer,7.2868764117507
Dog,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Verano,Adoption,5.902633333401366
Dog,Spayed Female,Owner Surrender,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Invierno,Adoption,7.509883061154913
Cat,Neutered Male,Owner Surrender,Normal,6205.0,Senior (>7a),mix,Monocolor,Primavera,At Risk,8.733271845008325
Dog,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Primavera,Adoption,5.902633333401366
Dog,Spayed Female,Public Assist,Normal,1825.0,Adulto (3-7a),mix,Bicolor,Verano,Return to Owner,7.509883061154913
Dog,Intact Male,Euthanasia Request,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,At Risk,5.902633333401366
Dog,Intact Male,Stray,Normal,150.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption,5.017279836814924
Dog,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer,3.4339872044851463
Cat,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Verano,At Risk,3.4339872044851463
Cat,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Monocolor,Verano,Transfer,4.110873864173311
Cat,Intact Female,Stray,Normal,14.0,Cachorro (<6m),mix,Monocolor,Otoño,Transfer,2.70805020110221
Cat,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption,3.4339872044851463
Dog,Intact Male,Stray,Normal,90.0,Cachorro (<6m),mix,Bicolor,Verano,Adoption,4.51085950651685
Cat,Intact Female,Stray,Normal,21.0,Cachorro (<6m),mix,Bicolor,Primavera,Transfer,3.091042453358316
Dog,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Adoption,6.594413459749778
Dog,Intact Male,Stray,Normal,270.0,Joven (6m-1a),mix,Bicolor,Invierno,Adoption,5.602118820879701
Dog,Intact Female,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Otoño,At Risk,6.594413459749778
Dog,Neutered Male,Owner Surrender,Normal,2190.0,Adulto (3-7a),purebred,Monocolor,Otoño,Adoption,7.692113339595466
Dog,Intact Female,Stray,Normal,180.0,Joven (6m-1a),mix,Bicolor,Invierno,Adoption,5.198497031265826
Dog,Neutered Male,Owner Surrender,Normal,1460.0,Adulto (3-7a),purebred,Bicolor,Invierno,Transfer,7.2868764117507
Cat,Intact Female,Stray,Normal,60.0,Cachorro (<6m),mix,Monocolor,Verano,Transfer,4.110873864173311
Dog,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Adoption,6.594413459749778
Cat,Intact Male,Stray,Injured,30.0,Cachorro (<6m),mix,Bicolor,Invierno,Transfer,3.4339872044851463
Dog,Spayed Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Return to Owner,5.902633333401366
Cat,Intact Female,Stray,Normal,28.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption,3.367295829986474
Cat,Intact Female,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer,3.367295829986474
Dog,Neutered Male,Stray,Normal,5110.0,Senior (>7a),mix,Monocolor,Otoño,Adoption,8.53915035876828
Dog,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Invierno,Adoption,3.4339872044851463
Dog,Neutered Male,Owner Surrender,Injured,3285.0,Senior (>7a),purebred,Bicolor,Otoño,Adoption,8.097426298597213
Cat,Spayed Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),purebred,Monocolor,Primavera,Transfer,5.902633333401366
Dog,Intact Female,Stray,Normal,270.0,Joven (6m-1a),purebred,Bicolor,Otoño,Adoption,5.602118820879701
Dog,Intact Male,Stray,Sick,270.0,Joven (6m-1a),mix,Monocolor,Otoño,Transfer,5.602118820879701
Dog,Intact Male,Stray,Normal,270.0,Joven (6m-1a),mix,Bicolor,Otoño,Adoption,5.602118820879701
Dog,Neutered Male,Owner Surrender,Normal,1095.0,Adulto (3-7a),purebred,Bicolor,Verano,Return to Owner,6.999422467507961
Dog,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Transfer,5.902633333401366
Dog,Intact Female,Stray,Normal,90.0,Cachorro (<6m),purebred,Bicolor,Verano,Adoption,4.51085950651685
Cat,Intact Female,Stray,Normal,21.0,Cachorro (<6m),mix,Monocolor,Primavera,Adoption,3.091042453358316
Dog,Neutered Male,Stray,Normal,3650.0,Senior (>7a),purebred,Monocolor,Invierno,Return to Owner,8.202756381655638
Dog,Intact Female,Stray,Normal,30.0,Cachorro (<6m),purebred,Monocolor,Verano,Adoption,3.4339872044851463
Cat,Intact Female,Stray,Nursing,21.0,Cachorro (<6m),mix,Bicolor,Primavera,Transfer,3.091042453358316
Cat,Intact Female,Stray,Normal,120.0,Cachorro (<6m),purebred,Monocolor,Verano,Adoption,4.795790545596741
Cat,Intact Female,Stray,Normal,28.0,Cachorro (<6m),mix,Bicolor,Primavera,Transfer,3.367295829986474
Cat,Neutered Male,Owner Surrender,Injured,2555.0,Senior (>7a),mix,Bicolor,Invierno,Transfer,7.846198815497425
Dog,Intact Male,Stray,Normal,120.0,Cachorro (<6m),purebred,Bicolor,Primavera,Return to Owner,4.795790545596741
Cat,Intact Female,Stray,Normal,60.0,Cachorro (<6m),mix,Monocolor,Otoño,Adoption,4.110873864173311
Dog,Intact Male,Stray,Normal,210.0,Joven (6m-1a),mix,Bicolor,Primavera,Adoption,5.351858133476067
Dog,Intact Female,Stray,Normal,150.0,Cachorro (<6m),mix,Bicolor,Invierno,Adoption,5.017279836814924
Dog,Intact Male,Stray,Normal,120.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption,4.795790545596741
Cat,Intact Male,Stray,Nursing,14.0,Cachorro (<6m),purebred,Bicolor,Otoño,Transfer,2.70805020110221
Dog,Intact Female,Public Assist,Normal,1095.0,Adulto (3-7a),purebred,Bicolor,Invierno,Transfer,6.999422467507961
Dog,Intact Female,Public Assist,Normal,1460.0,Adulto (3-7a),mix,Bicolor,Verano,Return to Owner,7.2868764117507
Dog,Intact Male,Owner Surrender,Normal,14.0,Cachorro (<6m),purebred,Bicolor,Primavera,Transfer,2.70805020110221
Cat,Spayed Female,Stray,Injured,4745.0,Senior (>7a),mix,Bicolor,Verano,At Risk,8.465057436995709
Dog,Spayed Female,Stray,Normal,1825.0,Adulto (3-7a),mix,Bicolor,Invierno,Return to Owner,7.509883061154913
Cat,Intact Female,Stray,Normal,240.0,Joven (6m-1a),mix,Monocolor,Invierno,Adoption,5.484796933490655
Dog,Neutered Male,Owner Surrender,Normal,60.0,Cachorro (<6m),purebred,Bicolor,Verano,Adoption,4.110873864173311
Dog,Spayed Female,Stray,Normal,270.0,Joven (6m-1a),purebred,Bicolor,Otoño,Adoption,5.602118820879701
Dog,Intact Male,Stray,Normal,2190.0,Adulto (3-7a),mix,Monocolor,Invierno,Return to Owner,7.692113339595466
Cat,Intact Female,Owner Surrender,Normal,60.0,Cachorro (<6m),mix,Bicolor,Verano,Adoption,4.110873864173311
Cat,Intact Male,Stray,Normal,90.0,Cachorro (<6m),mix,Monocolor,Otoño,Transfer,4.51085950651685
Dog,Intact Male,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Invierno,Transfer,6.594413459749778
Cat,Intact Female,Owner Surrender,Normal,1460.0,Adulto (3-7a),mix,Monocolor,Primavera,At Risk,7.2868764117507
Cat,Intact Male,Stray,Normal,21.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer,3.091042453358316
Cat,Intact Male,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Verano,At Risk,3.367295829986474
Dog,Intact Male,Stray,Sick,60.0,Cachorro (<6m),mix,Bicolor,Verano,Transfer,4.110873864173311
Cat,Intact Female,Stray,Normal,180.0,Joven (6m-1a),mix,Bicolor,Invierno,Transfer,5.198497031265826
Dog,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Return to Owner,6.594413459749778
Dog,Intact Female,Stray,Normal,120.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption,4.795790545596741
Dog,Intact Female,Stray,Normal,60.0,Cachorro (<6m),mix,Monocolor,Invierno,Adoption,4.110873864173311
Dog,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Adoption,5.902633333401366
Dog,Intact Female,Stray,Normal,1460.0,Adulto (3-7a),purebred,Monocolor,Invierno,Adoption,7.2868764117507
Dog,Intact Female,Stray,Normal,150.0,Cachorro (<6m),purebred,Bicolor,Primavera,Adoption,5.017279836814924
Cat,Intact Male,Stray,Injured,365.0,Adulto joven (1-3a),mix,Bicolor,Primavera,At Risk,5.902633333401366
Dog,Intact Male,Public Assist,Normal,365.0,Adulto joven (1-3a),purebred,Monocolor,Invierno,Return to Owner,5.902633333401366
Dog,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Adoption,6.594413459749778
Dog,Intact Female,Public Assist,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Verano,Return to Owner,6.594413459749778
Dog,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Primavera,Return to Owner,5.902633333401366
Dog,Intact Male,Stray,Normal,2555.0,Senior (>7a),mix,Bicolor,Invierno,Return to Owner,7.846198815497425
Cat,Spayed Female,Stray,Sick,2555.0,Senior (>7a),mix,Monocolor,Verano,Transfer,7.846198815497425
Dog,Neutered Male,Stray,Normal,1460.0,Adulto (3-7a),purebred,Bicolor,Invierno,Return to Owner,7.2868764117507
Cat,Intact Female,Stray,Nursing,21.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer,3.091042453358316
Dog,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,Transfer,5.902633333401366
Dog,Intact Male,Public Assist,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Return to Owner,5.902633333401366
Cat,Intact Female,Stray,Normal,21.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer,3.091042453358316
Cat,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Otoño,Adoption,3.4339872044851463
Dog,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption,5.902633333401366
Dog,Spayed Female,Owner Surrender,Normal,270.0,Joven (6m-1a),mix,Bicolor,Primavera,Adoption,5.602118820879701
Dog,Intact Male,Stray,Normal,1460.0,Adulto (3-7a),mix,Monocolor,Verano,Adoption,7.2868764117507
Cat,Intact Male,Stray,Normal,90.0,Cachorro (<6m),mix,Bicolor,Otoño,Transfer,4.51085950651685
Dog,Intact Male,Owner Surrender,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Invierno,Adoption,6.999422467507961
Dog,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Monocolor,Verano,Transfer,6.594413459749778
Dog,Intact Female,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption,4.110873864173311
Dog,Intact Female,Stray,Normal,1095.0,Adulto (3-7a),purebred,Bicolor,Otoño,Transfer,6.999422467507961
Dog,Neutered Male,Public Assist,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Verano,Return to Owner,7.509883061154913
Cat,Intact Female,Stray,Injured,28.0,Cachorro (<6m),mix,Monocolor,Otoño,Transfer,3.367295829986474
Cat,Intact Male,Stray,Normal,3.0,Cachorro (<6m),purebred,Bicolor,Primavera,At Risk,1.3862943611198906
Cat,Intact Male,Stray,Normal,14.0,Cachorro (<6m),mix,Monocolor,Otoño,Adoption,2.70805020110221
Dog,Intact Male,Owner Surrender,Normal,1460.0,Adulto (3-7a),purebred,Bicolor,Otoño,At Risk,7.2868764117507
Cat,Intact Male,Stray,Normal,21.0,Cachorro (<6m),purebred,Monocolor,Otoño,Transfer,3.091042453358316
Dog,Spayed Female,Owner Surrender,Normal,120.0,Cachorro (<6m),mix,Bicolor,Invierno,Adoption,4.795790545596741
Cat,Intact Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,Adoption,5.902633333401366
Cat,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption,6.594413459749778
Dog,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Primavera,Adoption,5.902633333401366
Cat,Intact Female,Stray,Normal,5.0,Cachorro (<6m),purebred,Monocolor,Otoño,Adoption,1.791759469228055
Dog,Neutered Male,Public Assist,Normal,3650.0,Senior (>7a),purebred,Monocolor,Primavera,At Risk,8.202756381655638
Dog,Intact Male,Stray,Normal,330.0,Joven (6m-1a),mix,Bicolor,Otoño,Return to Owner,5.802118375377063
Cat,Intact Female,Owner Surrender,Normal,90.0,Cachorro (<6m),purebred,Bicolor,Invierno,Adoption,4.51085950651685
Dog,Spayed Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption,5.902633333401366
Cat,Intact Male,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer,3.367295829986474
Dog,Intact Male,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Verano,Adoption,6.594413459749778
Cat,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Return to Owner,5.902633333401366
Cat,Intact Female,Owner Surrender,Normal,210.0,Joven (6m-1a),mix,Bicolor,Invierno,Adoption,5.351858133476067
Dog,Spayed Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Verano,Return to Owner,5.902633333401366
Dog,Neutered Male,Owner Surrender,Normal,270.0,Joven (6m-1a),purebred,Bicolor,Primavera,Adoption,5.602118820879701
Cat,Intact Male,Stray,Nursing,6.0,Cachorro (<6m),purebred,Monocolor,Primavera,Transfer,1.9459101490553132
Dog,Spayed Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,Adoption,5.902633333401366
Cat,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption,3.4339872044851463
Dog,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Verano,At Risk,5.902633333401366
Cat,Intact Male,Owner Surrender,Normal,30.0,Cachorro (<6m),mix,Monocolor,Otoño,Transfer,3.4339872044851463
Dog,Neutered Male,Public Assist,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Return to Owner,6.594413459749778
Dog,Neutered Male,Owner Surrender,Normal,1460.0,Adulto (3-7a),mix,Bicolor,Primavera,Adoption,7.2868764117507
Dog,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Return to Owner,6.594413459749778
Cat,Intact Male,Stray,Normal,120.0,Cachorro (<6m),mix,Monocolor,Otoño,Adoption,4.795790545596741
Dog,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Return to Owner,5.902633333401366
Cat,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Transfer,6.594413459749778
Dog,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,Transfer,5.902633333401366
Dog,Spayed Female,Owner Surrender,Normal,1095.0,Adulto (3-7a),mix,Monocolor,Verano,Adoption,6.999422467507961
Dog,Intact Female,Owner Surrender,Normal,270.0,Joven (6m-1a),purebred,Monocolor,Invierno,Transfer,5.602118820879701
Dog,Spayed Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Return to Owner,5.902633333401366
